哈TV有线,#genre#
緯來戲劇台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_43_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
高點電視台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_44_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
JET 綜合台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_45_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
東森購物3台,http://58.99.33.2:1935/liveedge4/ywYSMkid_46_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
東森購物1台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_47_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
MOMO1台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_48_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
壹電視新聞(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_49_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
年代新聞(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_50_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
東森新聞(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_51_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
華視新聞資訊台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_52_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
民視新聞(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_53_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
三立新聞(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_54_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
TVBS新聞(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_55_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
TVBS(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_56_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
東森財經新聞(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_57_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
非凡新聞台(HD),http://58.99.33.2:1935/liveedge4/ywYSMkid_58_1/chunklist_w.m3u8?checkCode=37050688asdfsdfsadf&aa=60999&as=abcdefg&mmmm=&dr=123&dt=&cust_type=NE
